date,forecast,market,internal_class
2025-01-01,35.28245471830419,Atlanta,A
2025-04-01,35.235517591211014,Atlanta,A
2025-07-01,35.1891808397778,Atlanta,A
2025-10-01,35.1434367845628,Atlanta,A
2025-01-01,25.347450897271045,Atlanta,O
2025-04-01,25.3056394866135,Atlanta,O
2025-07-01,25.26455297834304,Atlanta,O
2025-10-01,25.224178804515596,Atlanta,O
2025-01-01,51.073923786317906,Austin,A
2025-04-01,50.894451721141,Austin,A
2025-07-01,50.72134941246068,Austin,A
2025-10-01,50.55439078722328,Austin,A
2021-04-01,35.29502414963615,Austin,O
2021-07-01,35.04978443235631,Austin,O
2021-10-01,34.826218092560566,Austin,O
2022-01-01,34.62240971745699,Austin,O
2025-01-01,26.342478867508728,Baltimore,A
2025-04-01,26.352974656777697,Baltimore,A
2025-07-01,26.36180250852799,Baltimore,A
2025-10-01,26.369227482918006,Baltimore,A
2024-10-01,21.244709514519048,Baltimore,O
2025-01-01,21.22437263621094,Baltimore,O
2025-04-01,21.205289419252598,Baltimore,O
2025-07-01,21.187382582029997,Baltimore,O
2025-01-01,57.40229803411992,Boston,A
2025-04-01,56.890507848736476,Boston,A
2025-07-01,56.412274776423246,Boston,A
2025-10-01,55.965398540836986,Boston,A
2024-07-01,32.456080758708055,Boston,O
2024-10-01,32.105468259598595,Boston,O
2025-01-01,31.777049203894336,Boston,O
2025-04-01,31.469418767376418,Boston,O
2024-10-01,35.893056186002326,Charlotte,A
2025-01-01,35.814681935040724,Charlotte,A
2025-04-01,35.73858851180753,Charlotte,A
2025-07-01,35.664709540228166,Charlotte,A
2023-07-01,27.047434562437893,Charlotte,O
2023-10-01,26.801145329135572,Charlotte,O
2024-01-01,26.581474504000248,Charlotte,O
2024-04-01,26.38554522699283,Charlotte,O
2024-01-01,28.81660741076224,Chicago Suburbs,A
2024-04-01,28.81660741076224,Chicago Suburbs,A
2024-07-01,28.81660741076224,Chicago Suburbs,A
2024-10-01,28.81660741076224,Chicago Suburbs,A
2023-10-01,22.035541612059607,Chicago Suburbs,O
2024-01-01,21.97847854742492,Chicago Suburbs,O
2024-04-01,21.92432690148371,Chicago Suburbs,O
2024-07-01,21.872938130535022,Chicago Suburbs,O
2025-01-01,23.04954290560938,Detroit,A
2025-04-01,22.806594316792022,Detroit,A
2025-07-01,22.662793618460874,Detroit,A
2025-10-01,22.577678323322974,Detroit,A
2025-01-01,19.94509129283835,Detroit,O
2025-04-01,19.894029982042845,Detroit,O
2025-07-01,19.84654648452615,Detroit,O
2025-10-01,19.802390106609266,Detroit,O
2025-01-01,36.13337389192058,Houston,A
2025-04-01,36.04143594315239,Houston,A
2025-07-01,35.9539586909717,Houston,A
2025-10-01,35.87072570881786,Houston,A
2025-01-01,22.65842496966178,Houston,O
2025-04-01,22.591705592317123,Houston,O
2025-07-01,22.529512460267803,Houston,O
2025-10-01,22.47153851284736,Houston,O
2025-01-01,49.96888458007747,Los Angeles,A
2025-04-01,49.86042318232361,Los Angeles,A
2025-07-01,49.75455241469365,Los Angeles,A
2025-10-01,49.65121039927916,Los Angeles,A
2024-10-01,41.05146848026956,Los Angeles,O
2025-01-01,40.94613201172611,Los Angeles,O
2025-04-01,40.8435870144811,Los Angeles,O
2025-07-01,40.743759513090744,Los Angeles,O
2025-01-01,84.95984247645973,Manhattan,A
2025-04-01,85.07461726036544,Manhattan,A
2025-07-01,85.17440387909431,Manhattan,A
2025-10-01,85.26115960137496,Manhattan,A
2025-01-01,61.44006149992734,Manhattan,O
2025-04-01,61.545842943998885,Manhattan,O
2025-07-01,61.626026784674735,Manhattan,O
2025-10-01,61.68680727752924,Manhattan,O
2024-10-01,37.406329548842365,Nashville,A
2025-01-01,37.129789169459315,Nashville,A
2025-04-01,36.878014174103505,Nashville,A
2025-07-01,36.64878671579221,Nashville,A
2025-01-01,27.62489494868294,Nashville,O
2025-04-01,27.69736156388605,Nashville,O
2025-07-01,27.694352340851008,Nashville,O
2025-10-01,27.694477300782545,Nashville,O
2025-01-01,32.8252067299761,Northern New Jersey,A
2025-04-01,32.78134567086505,Northern New Jersey,A
2025-07-01,32.7383974220474,Northern New Jersey,A
2025-10-01,32.69634298665784,Northern New Jersey,A
2024-07-01,24.337088763670643,Northern New Jersey,O
2024-10-01,24.338649913866814,Northern New Jersey,O
2025-01-01,24.338643123244545,Northern New Jersey,O
2025-04-01,24.338643152782094,Northern New Jersey,O
2025-01-01,36.32689026666819,Northern Virginia,A
2025-04-01,36.2880410735057,Northern Virginia,A
2025-07-01,36.253031350811305,Northern Virginia,A
2025-10-01,36.221481643253355,Northern Virginia,A
2024-10-01,32.29755525287746,Northern Virginia,O
2025-01-01,32.26033183560709,Northern Virginia,O
2025-04-01,32.22394664010401,Northern Virginia,O
2025-07-01,32.18838079073071,Northern Virginia,O
2025-01-01,33.84199792597544,Philadelphia,A
2025-04-01,33.795011996049816,Philadelphia,A
2025-07-01,33.74902069971863,Philadelphia,A
2025-10-01,33.704002981827934,Philadelphia,A
2024-04-01,27.05424607348752,Philadelphia,O
2024-07-01,26.971221411066892,Philadelphia,O
2024-10-01,26.89746183349486,Philadelphia,O
2025-01-01,26.831933409470178,Philadelphia,O
2024-10-01,32.43282307922854,Phoenix,A
2025-01-01,32.362164212119964,Phoenix,A
2025-04-01,32.29685113293415,Phoenix,A
2025-07-01,32.236479399175984,Phoenix,A
2024-04-01,26.769642653621364,Phoenix,O
2024-07-01,26.641437175326907,Phoenix,O
2024-10-01,26.521692937176066,Phoenix,O
2025-01-01,26.409851518532527,Phoenix,O
2024-04-01,29.595491287884922,Salt Lake City,A
2024-07-01,29.4591056197654,Salt Lake City,A
2024-10-01,29.35404626950854,Salt Lake City,A
2025-01-01,29.273117919568428,Salt Lake City,A
2025-01-01,47.62939468709237,San Diego,A
2025-04-01,47.52097104086166,San Diego,A
