date,forecast,market,internal_class
2025-01-01,35.28299360020071,Atlanta,A
2025-04-01,35.23658224276993,Atlanta,A
2025-07-01,35.190758395213734,Atlanta,A
2025-10-01,35.145514620390195,Atlanta,A
2024-10-01,24.863947874753563,Atlanta,O
2025-01-01,24.794358972196285,Atlanta,O
2025-04-01,24.72646777559507,Atlanta,O
2025-07-01,24.66023286734728,Atlanta,O
2025-01-01,51.13525768601351,Austin,A
2025-04-01,51.01352380953757,Austin,A
2025-07-01,50.89472581543058,Austin,A
2025-10-01,50.778792898379066,Austin,A
2025-01-01,34.20787971503522,Austin,O
2025-04-01,34.1423947090435,Austin,O
2025-07-01,34.082934516785116,Austin,O
2025-10-01,34.02894483762327,Austin,O
2025-01-01,26.36703606793908,Baltimore,A
2025-04-01,26.395057109994802,Baltimore,A
2025-07-01,26.416257492259465,Baltimore,A
2025-10-01,26.43229744563715,Baltimore,A
2025-01-01,21.061426557956377,Baltimore,O
2025-04-01,21.03729867562386,Baltimore,O
2025-07-01,21.016924696704443,Baltimore,O
2025-10-01,20.999720575294695,Baltimore,O
2025-01-01,57.27479515914585,Boston,A
2025-04-01,56.65467716651915,Boston,A
2025-07-01,56.085151740290094,Boston,A
2025-10-01,55.56209126635117,Boston,A
2025-01-01,30.803928443955357,Boston,O
2025-04-01,30.5505673005166,Boston,O
2025-07-01,30.3093093849436,Boston,O
2025-10-01,30.07957651810919,Boston,O
2025-01-01,36.671094192593195,Charlotte,A
2025-04-01,36.61306852362652,Charlotte,A
2025-07-01,36.555909842551515,Charlotte,A
2025-10-01,36.49960519530808,Charlotte,A
2024-10-01,28.032067509265786,Charlotte,O
2025-01-01,27.92248283734766,Charlotte,O
2025-04-01,27.81783460612767,Charlotte,O
2025-07-01,27.71790044466342,Charlotte,O
2025-01-01,31.293677475890735,Chicago Suburbs,A
2025-04-01,31.229025112585415,Chicago Suburbs,A
2025-07-01,31.166000851414704,Chicago Suburbs,A
2025-10-01,31.104563692847805,Chicago Suburbs,A
2025-01-01,22.630421838868113,Chicago Suburbs,O
2025-04-01,22.554615257407814,Chicago Suburbs,O
2025-07-01,22.482401502893282,Chicago Suburbs,O
2025-10-01,22.41361029452285,Chicago Suburbs,O
2024-10-01,23.1683356629167,Detroit,A
2025-01-01,22.841173282905892,Detroit,A
2025-04-01,22.61249656173923,Detroit,A
2025-07-01,22.4526583712914,Detroit,A
2025-01-01,19.90792785251594,Detroit,O
2025-04-01,19.828023210117326,Detroit,O
2025-07-01,19.75867811443618,Detroit,O
2025-10-01,19.69849710178565,Detroit,O
2025-01-01,36.152895046111816,Houston,A
2025-04-01,36.078749630218454,Houston,A
2025-07-01,36.00745015566106,Houston,A
2025-10-01,35.938887385988664,Houston,A
2025-01-01,22.659564038138818,Houston,O
2025-04-01,22.593689160996025,Houston,O
2025-07-01,22.532080015271145,Houston,O
2025-10-01,22.474460373283474,Houston,O
2025-01-01,49.97264457092563,Los Angeles,A
2025-04-01,49.86775852176829,Los Angeles,A
2025-07-01,49.76528505207338,Los Angeles,A
2025-10-01,49.665168667905256,Los Angeles,A
2025-01-01,40.8525768515413,Los Angeles,O
2025-04-01,40.69277566131949,Los Angeles,O
2025-07-01,40.54024943880248,Los Angeles,O
2025-10-01,40.39466699024241,Los Angeles,O
2025-01-01,84.95984247645973,Manhattan,A
2025-04-01,85.07461726036544,Manhattan,A
2025-07-01,85.17440387909431,Manhattan,A
2025-10-01,85.26115960137496,Manhattan,A
2025-01-01,61.429557583794896,Manhattan,O
2025-04-01,61.528968522603805,Manhattan,O
2025-07-01,61.60554952501479,Manhattan,O
2025-10-01,61.66454353513618,Manhattan,O
2024-10-01,37.41547859998008,Nashville,A
2025-01-01,37.14483979026898,Nashville,A
2025-04-01,36.896207146223134,Nashville,A
2025-07-01,36.66779130390097,Nashville,A
2024-07-01,28.101606728597204,Nashville,O
2024-10-01,29.398276592551472,Nashville,O
2025-01-01,28.34251887552779,Nashville,O
2025-04-01,29.20212422924207,Nashville,O
2025-01-01,32.80975740639187,Northern New Jersey,A
2025-04-01,32.75120145177327,Northern New Jersey,A
2025-07-01,32.69428491455379,Northern New Jersey,A
2025-10-01,32.63896189522711,Northern New Jersey,A
2025-01-01,24.74424156143053,Northern New Jersey,O
2025-04-01,24.640885970261998,Northern New Jersey,O
2025-07-01,24.567597738509253,Northern New Jersey,O
2025-10-01,24.515629917003732,Northern New Jersey,O
2025-01-01,36.325935875345436,Northern Virginia,A
2025-04-01,36.28419078396574,Northern Virginia,A
2025-07-01,36.24464267838187,Northern Virginia,A
2025-10-01,36.20717593430299,Northern Virginia,A
2024-10-01,32.30689262220115,Northern Virginia,O
2025-01-01,32.27865809205511,Northern Virginia,O
2025-04-01,32.250923596662396,Northern Virginia,O
2025-07-01,32.22368028038585,Northern Virginia,O
2025-01-01,33.857476260151735,Philadelphia,A
2025-04-01,33.825405400552604,Philadelphia,A
2025-07-01,33.79378111502377,Philadelphia,A
2025-10-01,33.76259718519744,Philadelphia,A
2025-01-01,28.168694570339305,Philadelphia,O
2025-04-01,28.071685029319838,Philadelphia,O
2025-07-01,27.978789208431184,Philadelphia,O
2025-10-01,27.889832664075975,Philadelphia,O
2025-01-01,32.51384831319726,Phoenix,A
2025-04-01,32.41028478753364,Phoenix,A
2025-07-01,32.317945156977146,Phoenix,A
2025-10-01,32.235613010435465,Phoenix,A
2024-01-01,26.574608042644975,Phoenix,O
2024-04-01,26.519230388857036,Phoenix,O
2024-07-01,26.466201313123484,Phoenix,O
2024-10-01,26.415421211750402,Phoenix,O
2025-01-01,29.684573940261433,Salt Lake City,A
2025-04-01,29.54591034664991,Salt Lake City,A
2025-07-01,29.506300622764023,Salt Lake City,A
2025-10-01,29.494985971344327,Salt Lake City,A
2024-10-01,24.009475132512005,Salt Lake City,O
2025-01-01,23.93588323974949,Salt Lake City,O
2025-04-01,23.868364087288676,Salt Lake City,O
2025-07-01,23.80641655777291,Salt Lake City,O
2025-01-01,47.660929793626906,San Diego,A
2025-04-01,47.58297490486005,San Diego,A
2025-07-01,47.50611960168837,San Diego,A
2025-10-01,47.43034837400721,San Diego,A
2025-01-01,33.728180572496996,San Diego,O
2025-04-01,33.649362322471724,San Diego,O
2025-07-01,33.57343516523491,San Diego,O
2025-10-01,33.50029305405869,San Diego,O
2025-01-01,75.20953563494305,San Francisco,A
2025-04-01,75.20912998231002,San Francisco,A
2025-07-01,75.20877561874148,San Francisco,A
2025-10-01,75.20846605945732,San Francisco,A
2025-01-01,57.044643432628796,San Francisco,O
2025-04-01,57.352564886786894,San Francisco,O
2025-07-01,57.64462569073746,San Francisco,O
2025-10-01,57.92164280679867,San Francisco,O
2025-01-01,50.06038147471901,Seattle,A
2025-04-01,49.7546506915028,Seattle,A
2025-07-01,49.487298405948515,Seattle,A
2025-10-01,49.25350695112941,Seattle,A
2025-01-01,35.6868766530268,Seattle,O
2025-04-01,35.5959879790569,Seattle,O
2025-07-01,35.50728035283312,Seattle,O
2025-10-01,35.42070143593897,Seattle,O
2025-01-01,54.56659843062021,South Florida,A
2025-04-01,54.474184245691845,South Florida,A
2025-07-01,54.382747007188414,South Florida,A
2025-10-01,54.29227638742788,South Florida,A
2025-01-01,36.95342928000747,South Florida,O
2025-04-01,36.89754164589934,South Florida,O
2025-07-01,36.84232884948068,South Florida,O
2025-10-01,36.787782742152714,South Florida,O
2024-10-01,33.493451010209526,Tampa,A
2025-01-01,33.36357160647433,Tampa,A
2025-04-01,33.24119969197591,Tampa,A
2025-07-01,33.12590130726403,Tampa,A
2025-01-01,25.566831993098855,Tampa,O
2025-04-01,25.53407075309124,Tampa,O
2025-07-01,25.50171129145595,Tampa,O
2025-10-01,25.46974868085018,Tampa,O
